category_id,parent_id,category_name
5888,5887,"        <Name ID=""3065905"" Value="""" langid=""39""/>
"
4212,1259,natūralus cukrus ir saldikliai
2365,2561,elektros lizdo jungtys
2123,1961,šokdynės
2684,2025,pufai ir sofutės
2139,5667,smigiai
1197,415,kreidinės lentos
2324,935,mikrofonų priedai
1996,1961,bėgimo takeliai
2750,6179,batų valymo aparatai
4226,4219,ilgai negendanti apdorota mėsa ir paukštiena
4397,1280,kalcio karbonatas
2851,1527,epiliatorių priedai
5968,5953,"        <Name ID=""3101859"" Value="""" langid=""39""/>
"
1023,355,juostelės rašomajai mašinėlei
5316,3498,"        <Name ID=""2442822"" Value="""" langid=""39""/>
"
5318,1265,valgomosios dekoracijos
2570,2555,magnetinės ritės
4951,4974,braižybos reikmenys
3360,1439,palydovinės TV komutatoriai
1613,242,telekomunikacijų terminalai
6065,5955,"        <Name ID=""3118908"" Value="""" langid=""39""/>
"
3557,4444,"        <Name ID=""1672679"" Value="""" langid=""39""/>
"
2446,67,virtualizacijos programinė įranga
3926,4896,šepečiai daržovėms
4361,1987,plaukimo ratai kūdikiams
2667,4541,batų spintelės ir lentynos
3488,4445,"        <Name ID=""1667841"" Value="""" langid=""39""/>
"
447,390,žirklės
3598,1856,kniedės
1992,1333,veido saunos
1410,1333,elektrinės antklodės
6021,5954,"        <Name ID=""3112267"" Value="""" langid=""39""/>
"
3840,2108,oro ritulio stalai
5937,1968,"        <Name ID=""3097985"" Value="""" langid=""39""/>
"
3947,1856,vinys
3827,4786,ant galvos rišamos skarelės
2915,4762,ravėtuvai
3594,2026,"        <Name ID=""1675287"" Value="""" langid=""39""/>
"
1873,4964,šaldytuvai
6118,6083,"        <Name ID=""3132035"" Value="""" langid=""39""/>
"
3492,1136,"        <Name ID=""1668051"" Value="""" langid=""39""/>
"
4184,4176,"        <Name ID=""1927186"" Value="""" langid=""39""/>
"
5811,2112,"        <Name ID=""3023996"" Value="""" langid=""39""/>
"
1599,1357,suktuvų veržlėms antgaliai
1259,1265,cukrus ir saldikliai
1510,107,mobiliųjų telefonų ryšio paslaugų abonementai
3746,3192,radijo bangomis valdomi 
4585,1065,"        <Name ID=""2087771"" Value="""" langid=""39""/>
"
2541,2295,žaisliniai įrankiai
4148,3710,"        <Name ID=""1917014"" Value="""" langid=""39""/>
"
3931,3743,erdvėlaivių modeliai
2685,1357,suktuvai
4002,4509,inkilai
3503,3502,tapetai
3197,3196,elektromagnetinių spynų priedai
1198,438,knygų skirtukai
4938,4898,kokteilių koštuvai
2355,1601,elektrinės jungtys
2972,2581,kūno šveitikliai
2266,1315,makaronų ir itališkų virtinukų gaminimo aparatai
5445,2237,čiuožimo reikmenų priedai
4909,2026,"        <Name ID=""2184392"" Value="""" langid=""39""/>
"
2401,4168,elektroninės cigaretės
2650,4455,plonos ir storos antklodės
2443,1280,raminamojo poveikio namų fontanai
2079,1986,maišeliai sauskelnėms
5219,6232,"        <Name ID=""2390116"" Value="""" langid=""39""/>
"
2572,2555,elektriniai keitikliai
4506,4474,"        <Name ID=""2064693"" Value="""" langid=""39""/>
"
2124,2107,wrestling shoes
3607,4898,kibirėliai ledukams
717,692,vizitinės kortelės
3701,1309,guminukai
3852,6083,futbolo drabužiai
1964,1962,sieniniai dviračių laikikliai
2400,453,geliniai rašikliai
1432,1280,skustuvų priedai
1724,242,nuotoliniai maitinimo valdikliai
1676,4827,vabzdžių naikinimo ir atbaidymo aparatai
4781,1280,moterų higienos priemonės
4801,5620,siuvimo siūlai
5828,5802,"        <Name ID=""3025660"" Value="""" langid=""39""/>
"
787,839,paslaugų diegimas
4621,1358,kampainiai
3184,1797,diodai
5478,5054,energijos suteikiantys užkandžiai ir želė
2727,117,telefonų rageliai
2784,1981,vaikiškų vežimėlių 
3880,1309,saldymedžio saldainiai
1088,453,kaligrafiniai rašikliai
5765,5332,"        <Name ID=""2876848"" Value="""" langid=""39""/>
"
2483,4971,etikečių klijavimo įrenginiai
3298,236,ODD įrenginių korpusai
4537,2026,"        <Name ID=""2068033"" Value="""" langid=""39""/>
"
1485,403,nuplaunami piešimo pirštais dažai
2257,1315,gėrimų prisotinimo angliarūgšte aparatai
2358,2559,elektros spintos
3393,2581,dušo kremai
2304,1986,kremai speneliams
1387,1315,vaflinės
4004,1885,akumuliatorinių elektrinių įrankių rinkiniai
5394,4765,laistymo smaigai
2190,2114,ledo ritulio pirštinės
4217,4214,"        <Name ID=""1933378"" Value="""" langid=""39""/>
"
2975,2581,rankų šveitikliai
1946,1945,temperatūros davikliai
4952,4951,"        <Name ID=""2208136"" Value="""" langid=""39""/>
"
5529,2040,lazeriniai imtuvai
3780,4720,gręžiamųjų perforatorių priedai
4913,1280,burnos ir dantų priežiūra
3539,4603,sodo nameliai įrankiams
3006,2858,lūpų blizgesiai
1498,1259,kramtomosios gumos
3804,2707,dujų kasečių ir balionų uždangalai
1985,2832,baldai kūdikiams
3603,4885,padažinės
2409,1985,žaidimų stovai ir kilimėliai kūdikiams
1321,1315,elektriniai virduliai
2145,2110,golfo lazdos
3246,119,asmenukių lazdos
1811,4950,įmautės dokumentams
2908,242,modulinė pagrindinės perdavimo stoties įranga
5388,4958,dengiamosios plėvelės
4957,2834,skrydžio 
3403,3397,užkandžiai ir skanėstai gyvūnams
2589,2332,pakabinami šviestuvai
1075,4969,skylamušiai
5113,5296,programuojamų žaislų programinė įranga
3304,415,lentos su žemėlapiais
6226,1800,"        <Name ID=""3148534"" Value="""" langid=""39""/>
"
2563,2555,šviesos jungikliai
3723,1966,"        <Name ID=""1704333"" Value="""" langid=""39""/>
"
5455,2877,šiluminių siurblių priedai
900,21,HTML redagavimo įrankiai
3848,1966,lentynos padangoms
4868,4842,kilimų valikliai ir gaivikliai
2899,1885,benzininiai grandininiai pjūklai
5957,5952,"        <Name ID=""3100866"" Value="""" langid=""39""/>
"
370,372,kaitinimo blokų tepalai
3417,4763,elektrinės genėjimo žirklės
5973,5972,"        <Name ID=""3102246"" Value="""" langid=""39""/>
"
1414,1333,plaukų formavimo šukos
1465,4882,kepimo padėklai ir skardos
1591,839,pagalba transportuojant
1742,1716,telefonų priedai
2089,1988,vonelės kūdikiams
5539,1960,rūko priemonės
2549,2295,vaidmenų žaislai
4902,4880,virtuviniai laikmačiai
6004,5954,"        <Name ID=""3110704"" Value="""" langid=""39""/>
"
4991,1355,lituokliai
1276,1228,pleistrai ir tvarsčiai
4554,4553,žaidimų kėdės
5047,5046,dubens raumenų treniruokliai
5061,2115,plaukimo įrangos krepšiai ir kuprinės
6165,6140,"        <Name ID=""3138875"" Value="""" langid=""39""/>
"
2534,2295,žaislų dalys
3579,1746,plovimo dubenys
5661,1119,"        <Name ID=""2819979"" Value="""" langid=""39""/>
"
2194,2114,cricket bats
4755,4750,vartų techninės įrangos komplektai
4101,910,navigatorių stovai ir laikikliai
3091,4898,butelių atidarytuvai
1185,431,aplankai laiškams
1434,1315,mėsmalės
5896,5311,"        <Name ID=""3068534"" Value="""" langid=""39""/>
"
880,242,telefonų kabeliai
5428,4842,tekstilės ir odos priežiūros reikmenys
4599,2024,"        <Name ID=""2088888"" Value="""" langid=""39""/>
"
464,453,flomasteriai
4199,4194,"        <Name ID=""1928104"" Value="""" langid=""39""/>
"
3116,1280,odos priežiūros priemonės skutimuisi
1842,571,dirželiai
5149,4763,"        <Name ID=""2342591"" Value="""" langid=""39""/>
"
2227,2115,nosies spaustukai vandens sportui
2758,2655,eksploatacinės medžiagos 3D spausdintuvams
2366,4919,šviesos indikatoriai signalizacijoms
3935,3652,dėžių ir krepšių daiktams laikyti priedai
984,2555,maitinimo paskirstymo įrenginiai
3142,3012,pieneliai nuo saulės
